trip_id,arrival_time,departure_time,stop_id,stop_sequence,travel_time,timepoint
AGL_MonFri_0,06:00:00,06:00:20,AG18,1,0,0
AGL_MonFri_0,06:02:05,06:02:25,AG17,2,105,0
AGL_MonFri_0,06:03:19,06:03:39,AG16,3,54,0
AGL_MonFri_0,06:04:49,06:05:09,AG15,4,70,0
AGL_MonFri_0,06:06:29,06:06:49,AG14,5,80,0
AGL_MonFri_0,06:08:38,06:08:58,AG13,6,109,0
AGL_MonFri_0,06:10:21,06:10:41,AG12,7,83,0
AGL_MonFri_0,06:12:03,06:12:23,AG11,8,82,0
AGL_MonFri_0,06:13:50,06:14:10,AG10,9,87,0
AGL_MonFri_0,06:15:23,06:15:43,AG9,10,73,0
AGL_MonFri_0,06:16:49,06:17:09,AG8,11,66,0
AGL_MonFri_0,06:18:41,06:19:01,AG7,12,92,0
AGL_MonFri_1,00:01:35,00:01:55,AG6,1,95,0
AGL_MonFri_1,00:03:04,00:03:24,AG5,2,69,0
AGL_MonFri_1,00:04:34,00:04:54,AG4,3,70,0
AGL_MonFri_1,00:06:19,00:06:39,AG3,4,85,0
AGL_MonFri_1,00:07:41,00:08:01,AG2,5,62,0
AGL_MonFri_1,00:09:20,00:09:40,AG1,6,79,0
AGL_MonFri_2,06:00:00,06:00:20,AG1,1,0,0
AGL_MonFri_2,06:01:39,06:01:59,AG2,2,79,0
AGL_MonFri_2,06:03:01,06:03:21,AG3,3,62,0
AGL_MonFri_2,06:04:46,06:05:06,AG4,4,85,0
AGL_MonFri_2,06:06:16,06:06:36,AG5,5,70,0
AGL_MonFri_2,06:07:45,06:08:05,AG6,6,69,0
AGL_MonFri_3,00:01:35,00:01:55,AG7,1,95,0
AGL_MonFri_3,00:03:27,00:03:47,AG8,2,92,0
AGL_MonFri_3,00:04:53,00:05:13,AG9,3,66,0
AGL_MonFri_3,00:06:26,00:06:46,AG10,4,73,0
AGL_MonFri_3,00:08:13,00:08:33,AG11,5,87,0
AGL_MonFri_3,00:09:49,00:10:09,AG12,6,76,0
AGL_MonFri_3,00:11:35,00:11:55,AG13,7,86,0
AGL_MonFri_3,00:13:43,00:14:03,AG14,8,108,0
AGL_MonFri_3,00:15:24,00:15:44,AG15,9,81,0
AGL_MonFri_3,00:16:56,00:17:16,AG16,10,72,0
AGL_MonFri_3,00:18:12,00:18:32,AG17,11,56,0
AGL_MonFri_3,00:20:31,00:20:51,AG18,12,119,0
AGL_Sat_0,06:00:00,06:00:20,AG18,1,0,0
