,date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
0,2019-01-01,0,0,0,113357,114173,139634,35804,0,0,0,0,0,0
1,2019-01-02,0,0,0,182715,169316,274224,31859,0,0,0,0,0,0
2,2019-01-03,0,0,0,187904,175304,286469,31893,0,0,0,0,0,0
3,2019-01-04,0,0,0,198420,187891,304755,34121,0,0,0,0,0,0
4,2019-01-05,0,0,0,120773,112660,145036,29950,0,0,0,0,0,0
5,2019-01-06,0,0,0,101145,95913,120032,25342,0,0,0,0,0,0
6,2019-01-07,0,0,0,197569,184365,301290,31988,0,0,0,0,0,0
7,2019-01-08,0,0,0,196879,185920,304680,31792,0,0,0,0,0,0
8,2019-01-09,0,0,0,197314,188770,307069,32305,0,0,0,0,0,0
9,2019-01-10,0,0,0,198876,189818,310510,32057,0,0,0,0,0,0
10,2019-01-11,0,0,0,209859,204378,326471,33265,0,0,0,0,0,0
11,2019-01-12,0,0,0,124608,123932,152720,30671,0,0,0,0,0,0
12,2019-01-13,0,0,0,106718,108346,127805,27235,0,0,0,0,0,0
13,2019-01-14,0,0,0,199162,192036,306455,32172,0,0,0,0,0,0
14,2019-01-15,0,0,0,195405,189880,305742,31260,0,0,0,0,0,0
15,2019-01-16,0,0,0,198901,194697,311279,31612,0,0,0,0,0,0
16,2019-01-17,0,0,0,201926,194701,314277,31234,0,0,0,0,0,0
17,2019-01-18,0,0,0,217270,212546,330484,35981,0,0,0,0,0,0
18,2019-01-19,0,0,0,130758,127306,157194,30339,0,0,0,0,0,0
19,2019-01-20,0,0,0,105012,110488,125599,27159,0,0,0,0,0,0
20,2019-01-21,0,0,0,103443,106077,125094,23836,0,0,0,0,0,0
21,2019-01-22,0,0,0,196298,189718,304452,31245,0,0,0,0,0,0
22,2019-01-23,0,0,0,197309,193904,308968,31051,0,0,0,0,0,0
23,2019-01-24,0,0,0,198692,193784,313285,32338,0,0,0,0,0,0
24,2019-01-25,0,0,0,215764,210356,332682,36334,0,0,0,0,0,0
25,2019-01-26,0,0,0,136301,133944,161765,33508,0,0,0,0,0,0
26,2019-01-27,0,0,0,107763,114660,128906,27630,0,0,0,0,0,0
27,2019-01-28,0,0,0,201365,193349,311540,32889,0,0,0,0,0,0
28,2019-01-29,0,0,0,201416,197553,317389,33093,0,0,0,0,0,0
29,2019-01-30,0,0,0,203261,200482,320084,33103,0,0,0,0,0,0
30,2019-01-31,0,0,0,216817,209858,324593,35298,0,0,0,0,0,0
31,2019-02-01,0,0,0,133281,134808,176585,24817,0,0,0,0,0,0
32,2019-02-02,0,0,0,116729,110338,130286,27648,0,0,0,0,0,0
33,2019-02-03,0,0,0,103011,97759,119030,27508,0,0,0,0,0,0
34,2019-02-04,0,0,0,139596,124890,200211,32076,0,0,0,0,0,0
35,2019-02-05,0,0,0,102683,98115,142522,33484,0,0,0,0,0,0
36,2019-02-06,0,0,0,96384,91478,118858,27009,0,0,0,0,0,0
37,2019-02-07,0,0,0,149863,142324,229122,31452,0,0,0,0,0,0
38,2019-02-08,0,0,0,157270,149732,245190,31909,0,0,0,0,0,0
39,2019-02-09,0,0,0,109346,104722,134543,27174,0,0,0,0,0,0
40,2019-02-10,0,0,0,99421,94513,115661,22790,0,0,0,0,0,0
41,2019-02-11,0,0,0,195601,187579,303415,31101,0,0,0,0,0,0
42,2019-02-12,0,0,0,195645,191843,308682,31333,0,0,0,0,0,0
43,2019-02-13,0,0,0,193979,190300,307471,31183,0,0,0,0,0,0
44,2019-02-14,0,0,0,198331,199824,315114,33229,0,0,0,0,0,0
45,2019-02-15,0,0,0,209305,205707,326085,35781,0,0,0,0,0,0
46,2019-02-16,0,0,0,132846,130475,160601,30697,0,0,0,0,0,0
47,2019-02-17,0,0,0,107138,104056,132422,25363,0,0,0,0,0,0
48,2019-02-18,0,0,0,196753,196520,271155,35571,0,0,0,0,0,0
49,2019-02-19,0,0,0,178768,157389,294107,32237,0,0,0,0,0,0
50,2019-02-20,0,0,0,199157,196053,312133,32399,0,0,0,0,0,0
51,2019-02-21,0,0,0,200226,197214,313732,31764,0,0,0,0,0,0
52,2019-02-22,0,0,0,212795,209391,330890,35687,0,0,0,0,0,0
53,2019-02-23,0,0,0,125301,122615,156854,29840,0,0,0,0,0,0
54,2019-02-24,0,0,0,104184,104368,126762,25721,0,0,0,0,0,0
55,2019-02-25,0,0,0,198840,191436,308389,32058,0,0,0,0,0,0
56,2019-02-26,0,0,0,197991,192901,312558,31574,0,0,0,0,0,0
57,2019-02-27,0,0,0,198505,195542,313176,32549,0,0,0,0,0,0
58,2019-02-28,0,0,0,201166,197248,317961,33380,0,0,0,0,0,0
59,2019-03-01,0,0,0,217456,213982,336857,37968,0,0,0,0,0,0
60,2019-03-02,0,0,0,134544,130713,165206,33679,0,0,0,0,0,0
61,2019-03-03,0,0,0,111588,108332,137573,28642,0,0,0,0,0,0
62,2019-03-04,0,0,0,197801,192865,307273,32552,0,0,0,0,0,0
63,2019-03-05,0,0,0,200357,193701,314642,33206,0,0,0,0,0,0
64,2019-03-06,0,0,0,203100,199792,319435,33651,0,0,0,0,0,0
65,2019-03-07,0,0,0,204283,199036,319841,35364,0,0,0,0,0,0
66,2019-03-08,0,0,0,223645,220947,343280,39461,0,0,0,0,0,0
67,2019-03-09,0,0,0,132857,126214,159221,34063,0,0,0,0,0,0
68,2019-03-10,0,0,0,109988,103224,128440,27606,0,0,0,0,0,0
69,2019-03-11,0,0,0,201798,192667,310035,32928,0,0,0,0,0,0
70,2019-03-12,0,0,0,200905,197370,316228,33031,0,0,0,0,0,0
71,2019-03-13,0,0,0,200456,197359,315024,32369,0,0,0,0,0,0
72,2019-03-14,0,0,0,201577,198948,312119,32572,0,0,0,0,0,0
73,2019-03-15,0,0,0,233271,211468,334809,35659,0,0,0,0,0,0
74,2019-03-16,0,0,0,160425,131162,161990,34126,0,0,0,0,0,0
75,2019-03-17,0,0,0,130314,104384,129970,26051,0,0,0,0,0,0
76,2019-03-18,0,0,0,197854,190320,303053,32068,0,0,0,0,0,0
77,2019-03-19,0,0,0,197216,192269,310379,32345,0,0,0,0,0,0
78,2019-03-20,0,0,0,200186,195318,311704,32786,0,0,0,0,0,0
79,2019-03-21,0,0,0,202089,198312,316024,37280,0,0,0,0,0,0
80,2019-03-22,0,0,0,218157,214748,330716,35980,0,0,0,0,0,0
81,2019-03-23,0,0,0,130663,123197,152413,29100,0,0,0,0,0,0
82,2019-03-24,0,0,0,104866,101601,124368,24332,0,0,0,0,0,0
83,2019-03-25,0,0,0,194363,190074,297773,33848,0,0,0,0,0,0
84,2019-03-26,0,0,0,194677,193744,306973,33964,0,0,0,0,0,0
85,2019-03-27,0,0,0,198831,198920,309805,33891,0,0,0,0,0,0
86,2019-03-28,0,0,0,199485,196676,311555,35043,0,0,0,0,0,0
87,2019-03-29,0,0,0,238981,242298,340778,37946,0,0,0,0,0,0
88,2019-03-30,0,0,0,152283,128946,166120,31514,0,0,0,0,0,0
89,2019-03-31,0,0,0,123681,104480,134139,25965,0,0,0,0,0,0
90,2019-04-01,0,0,0,205245,190815,306373,31777,0,0,0,0,0,0
91,2019-04-02,0,0,0,207847,197166,317075,33265,0,0,0,0,0,0
92,2019-04-03,0,0,0,211684,200319,322013,32886,0,0,0,0,0,0
93,2019-04-04,0,0,0,212319,201210,322939,34392,0,0,0,0,0,0
94,2019-04-05,0,0,0,229860,214867,340221,39335,0,0,0,0,0,0
95,2019-04-06,0,0,0,160353,130768,172325,33828,0,0,0,0,0,0
96,2019-04-07,0,0,0,130957,109808,139908,29366,0,0,0,0,0,0
97,2019-04-08,0,0,0,202323,194782,312395,33474,0,0,0,0,0,0
98,2019-04-09,0,0,0,200751,197901,317200,32767,0,0,0,0,0,0
99,2019-04-10,0,0,0,200386,198312,318125,32572,0,0,0,0,0,0
100,2019-04-11,0,0,0,201013,198606,316672,32376,0,0,0,0,0,0
101,2019-04-12,0,0,0,213747,209837,333770,36728,0,0,0,0,0,0
102,2019-04-13,0,0,0,155043,123642,166605,31381,0,0,0,0,0,0
103,2019-04-14,0,0,0,113787,107228,137712,28599,0,0,0,0,0,0
104,2019-04-15,0,0,0,200342,190762,308053,33609,0,0,0,0,0,0
105,2019-04-16,0,0,0,199017,192672,313531,32443,0,0,0,0,0,0
106,2019-04-17,0,0,0,198520,193438,313730,32576,0,0,0,0,0,0
107,2019-04-18,0,0,0,199315,194390,316735,32675,0,0,0,0,0,0
108,2019-04-19,0,0,0,209956,206110,328474,38612,0,0,0,0,0,0
109,2019-04-20,0,0,0,126409,120236,153408,30547,0,0,0,0,0,0
110,2019-04-21,0,0,0,108371,101519,128759,26289,0,0,0,0,0,0
111,2019-04-22,0,0,0,196368,187208,303587,33991,0,0,0,0,0,0
112,2019-04-23,0,0,0,194416,189231,307655,31589,0,0,0,0,0,0
113,2019-04-24,0,0,0,200264,198913,314979,33584,0,0,0,0,0,0
114,2019-04-25,0,0,0,201047,196071,314855,34681,0,0,0,0,0,0
